key,title,abstract,claude_decision,claude_reason,codex_decision,codex_reason,gemini_decision,gemini_reason
10.1002/cpe.3417,Adaptation of fluid model EULAG to graphics processing unit architecture,"The goal of this study is to adapt the multiscale fluid solver EULerian or LAGrangian framewrok EULAG to future graphics processing units GPU platforms. The EULAG model has the proven record of successful applications, and excellent efficiency and scalability on conventional supercomputer architectures. Currently, the model is being implemented as the new dynamical core of the COSMO weather prediction framework. Within this study, two main modules of EULAG, namely the multidimensional positive definite advection transport algorithm MPDATA and the variational generalized conjugate residual, elliptic pressure solver Generalized Conjugate Residual GCR are analyzed and optimized. In this paper, a method is proposed, which ensures a comprehensive analysis of the resource consumption including registers, shared, and global memories. This method allows us to identify bottlenecks of the algorithm, including data transfers between host and global memory, global and shared memories, as well as GPU occupancy. We put the emphasis on providing a fixed memory access pattern, padding as well as organizing computation in the MPDATA algorithm. The testing and validation of the new GPU implementation have been carried out based on modeling decaying turbulence of a homogeneous incompressible fluid in a triply-periodic cube. Simulations performed using the standard version of EULAG and its new GPU implementation give similar solutions. Preliminary results show a promising increase in terms of computational efficiency. Copyright \textcopyright 2014 John Wiley \&amp; Sons, Ltd.",,,,,,
10.1007/11428848_1,Teaching high-performance computing on a high-performance cluster,"The university education in parallel and high-performance computing often suffers from a significant gap between the effects and potential performance taught in the lectures on the one hand and those practically experienced in exercises or lab courses on the other hand. With a small number of processors, the results obtained are often hardly convincing; however, supercomputers are rarely accessible to students doing their first steps in parallel programming. In this contribution, we present our experiences of how a state-of-the-art mid-size Linux cluster, bought and operated on a department level primarily for education and algorithm development purposes, can be used for teaching a large variety of HPC aspects. Special focus is put on the effects of such an approach on the intensity and sustainability of learning.",,,,,,
10.1007/11558958_10,HPC-ICTM: the interval categorizer tessellation-based model for high performance computing,"This paper presents the Interval Categorizer Tessellation-based Model (ICTM) for the simultaneous categorization of geographic regions considering several characteristics (e.g., relief, vegetation, land use etc.). Interval techniques are used for the modelling of uncertain data and the control of discretization errors. HPC-ICTM is an implementation of the model for clusters. We analyze the performance of the HPC-ICTM and present results concerning its application to the relief/land-use categorization of the region surrounding the lagoon Lagoa Pequena (RS, Brazil), which is extremely important from an ecological point of view.",,,,,,
10.1007/978-3-030-22734-0_21,A High-Productivity Framework for Adaptive Mesh Refinement on Multiple GPUs,"Recently grid-based physical simulations with multiple GPUs require effective methods to adapt grid resolution to certain sensitive regions of simulations. In the GPU computation, an adaptive mesh refinement (AMR) method is one of the effective methods to compute certain local regions that demand higher accuracy with higher resolution. However, the AMR methods using multiple GPUs demand complicated implementation and require various optimizations suitable for GPU computation in order to obtain high performance. Our AMR framework provides a high-productive programming environment of a block-based AMR for grid-based applications. Programmers just write the stencil functions that update a grid point on Cartesian grid, which are executed over a tree-based AMR data structure effectively by the framework. It also provides the efficient GPU-suitable methods for halo exchange and mesh refinement with a dynamic load balance technique. The framework-based application for compressible flow has achieved to reduce the computational time to less than 15\% with 10\% of memory footprint in the best case compared to the equivalent computation running on the fine uniform grid. It also has demonstrated good weak scalability with 84\% of the parallel efficiency on the TSUBAME3.0 supercomputer.",,,,,,
10.1007/978-3-030-34356-9_18,Footprinting Parallel I/O – Machine Learning to Classify Application's I/O Behavior,"It is not uncommon to run tens of thousands of parallel jobs on large HPC systems. The amount of data collected by monitoring systems on such systems is immense. Checking each job individually by hand, e.g., for identification of high workloads or detection of anomalies, is infeasible. Therefore, we are looking for an automated approach.Many automated approaches are looking at job statistics over the entire job run time. Information about different activities during the job execution is lost. In our work, we partition the collected monitoring data for each job into a sequence of smaller windows for which we analyze the I/O behavior. Then, we convert the sequence to a footprint vector, where each element shows how often this behavior occurs. After that, the footprint dataset is classified to identify applications with similar I/O behavior. The classes are interpreted by a human which is the only non-automatic step in the workflow.The contribution of this paper is a data reduction technique for monitoring data and an automated job classification method.",,,,,,
10.1007/978-3-030-50743-5_18,Footprint-Aware Power Capping for Hybrid Memory Based Systems,"High Performance Computing (HPC) systems are facing severe limitations in both power and memory bandwidth/capacity. By now, these limitations have been addressed individually: to improve performance under a strict power constraint, power capping, which sets power limits to components/nodes/jobs, is an indispensable feature; and for memory bandwidth/capacity increase, the industry has begun to support hybrid main memory designs that comprise multiple different technologies including emerging memories (e.g., 3D stacked DRAM or Non-Volatile RAM) in one compute node. However, few works look at the combination of both trends.This paper explicitly targets power managements on hybrid memory based HPC systems and is based on the following observation: in spite of the system software's efforts to optimize data allocations on such a system, the effective memory bandwidth can decrease considerably when we scale the problem size of applications. As a result, the performance bottleneck component changes in accordance with the footprint (or data) size, which then also changes the optimal power cap settings in a node. Motivated by this observation, we propose a power management concept called [inline-graphic not available: see fulltext] and a profile-driven software framework to realize it. Our experimental result on a real system using HPC benchmarks shows that our approach is successful in correctly setting power caps depending on the footprint size while keeping around 93/96\% of performance/power-efficiency compared to the best settings.",,,,,,
10.1007/978-3-030-59851-8_10,Investigating the Overhead of the REST Protocol When Using Cloud Services for HPC Storage,"With the significant advances in Cloud Computing, it is inevitable to explore the usage of Cloud technology in HPC workflows. While many Cloud vendors offer to move complete HPC workloads into the Cloud, this is limited by the massive demand of computing power alongside storage resources typically required by I/O intensive HPC applications. It is widely believed that HPC hardware and software protocols like MPI yield superior performance and lower resource consumption compared to the HTTP transfer protocol used by RESTful Web Services that are prominent in Cloud execution and Cloud storage. With the advent of enhanced versions of HTTP, it is time to reevaluate the effective usage of cloud-based storage in HPC and their ability to cope with various types of data-intensive workloads. In this paper, we investigate the overhead of the REST protocol via HTTP compared to the HPC-native communication protocol MPI when storing and retrieving objects. Albeit we compare the MPI for a communication use case, we can still evaluate the impact of data communication and, therewith, the efficiency of data transfer for data access patterns. We accomplish this by modeling the impact of data transfer using measurable performance metrics. Hence, our contribution is the creation of a performance model based on hardware counters that provide an analytical representation of data transfer over current and future protocols. We validate this model by comparing the results obtained for REST and MPI on two different cluster systems, one equipped with Infiniband and one with Gigabit Ethernet. The evaluation shows that REST can be a viable, performant, and resource-efficient solution, in particular for accessing large files.",,,,,,
10.1007/978-3-030-67077-1_8,Analysis and Visualization of the Dynamic Behavior of HPC Applications,"The behavior of a parallel application can be presented in many ways, but performance visualization tools usually focus on communication graphs and runtime of processes or threads in specific (groups of) functions. A different approach is required when searching for the optimal configuration of tunable parameters, for which it is necessary to run the application several times and compare the resource consumption of these runs. We present RADAR visualizer, a tool that was originally developed to analyze such measurements and to detect the optimal configuration for each instrumented part of the code. In this case, the optimum was defined as the minimum energy consumption of the whole application, but any other metric can be defined.RADAR visualizer presents the application behavior in several graphical representations and tables including the amount of savings that can be reached. Together with our MERIC library, we provide a complete toolchain for HPC application behavior monitoring, data analysis, and graphical representation. The final part is performing dynamic tuning (applying optimal settings for each region during the application runtime) for the production runs of the analyzed application.",,,,,,
10.1007/978-3-030-77980-1_49,A Collaborative Peer Review Process for Grading Coding Assignments,"With software technology becoming one of the most important aspects of computational science, it is imperative that we train students in the use of software development tools and teach them to adhere to sustainable software development workflows. In this paper, we showcase how we employ a collaborative peer review workflow for the homework assignments of our course on Numerical Linear Algebra for High Performance Computing (HPC). In the workflow we employ, the students are required to operate with the git version control system, perform code reviews, realize unit tests, and plug into a continuous integration system. From the students' performance and feedback, we are optimistic that this workflow encourages the acceptance and usage of software development tools in academic software development.",,,,,,
10.1007/978-3-030-88224-2_2,Collection of Job Scheduling Prediction Methods,"For more than two decades, researchers have been developing methods to predict HPC job run times. The methods vary from simple rule-based solutions to modern methods using machine and deep learning libraries. These studies are often developed for scientific publications and the sustainability after publication is often neglected. It is also often difficult to compare a solution with previously published, because the focus can be slightly different and missing the availability of source code. With this work, we want to start a collection of different wall time prediction methods to better compare new solutions and to promote sustainability. Therefore, this paper is submitted as a Open Scheduling Problem. The collection of source codes and results are going to be published on GitHub: .",,,,,,
