id,title,abstract,lucas_decision,lucas_reason,victor_decision,victor_reason,victor_notes,final_decision,resolution
52,The Power of\&nbsp;Training: How Different Neural Network Setups Influence the\&nbsp;Energy Demand,"This work offers a heuristic evaluation of the effects of variations in machine learning training regimes and learning paradigms on the energy consumption of computing, especially HPC hardware with a life-cycle aware perspective. While increasing data availability and innovation in high-performance hardware fuels the training of sophisticated models, it also fosters the fading perception of energy consumption and carbon emission. Therefore, the goal of this work is to raise awareness about the energy impact of general training parameters and processes, from learning rate over batch size to knowledge transfer. Multiple setups with different hyperparameter configurations are evaluated on three different hardware systems. Among many results, we have found out that even with the same model and hardware to reach the same accuracy, improperly set training hyperparameters consume up to 5 times the energy of the optimal setup. We also extensively examined the energy-saving benefits of learning paradigms including recycling knowledge through pretraining and sharing knowledge through multitask training.",include,IC1,exclude,EC2,,exclude,life-cycle aware e recycle são usados em outro contexto
223,Data Center Operators Face Energy Irony,"High-performance computational technology is envisioned as a great resource for reducing energy consumption. However, the renewable energy infrastructure that will let these data centers operate without adding to greenhouse gas emission levels is still in its infancy.",exclude,EC1,include,IC1,,include,"é um artigo de revista, mas trata do assunto"
237,"Sustainable AI: Experiences, Challenges \&amp; Recommendations","The use of Artificial Intelligence (AI) and Machine Learning (ML) as part of scientific workloads is becoming increasingly widespread. It is imperative to understand how to configure AI and ML applications on HPC systems to optimise their performance and energy efficiency, thereby minimising their environmental impact. In this study, we use MLPerf HPC's DeepCAM benchmark to assess and explore the energy efficiency of ML applications on different hardware platforms. We highlight the challenges that, despite growing popularity, ML frameworks still present in a traditional HPC environment, as well as the challenges of measuring power and energy on a variety of HPC and cloud-like virtualised systems. We conclude our study by proposing recommendations that will improve and encourage best practices around sustainable AI and ML workloads on HPC systems.",exclude,EC2,include,IC1,,exclude,"menciona impactos ambientais, mas cria um benchmark que compara consumo de energia de de modelos de IA"
408,"Empowering Generative AI in Enterprises: Sustainable, High-Performance Storage Solutions with Global Data Fabric and Data Lakehouse","Rapid growth in unstructured data has triggered enterprises to shift from traditional file storage to scalable object storage solutions in their infrastructure. There has been a growing need to integrate both file and object storage into a unified platform capable of managing the complexities of traditional and modern data workloads. Gartner predicts that by 2029, over 80\% of unstructured data will reside on consolidated storage systems--up from 40\% in early 2024--highlighting the urgency of this transition. As sustainability takes center stage, businesses must adopt storage solutions that deliver both high performance and minimal environmental impact. This paper presents a storage solution designed for Generative AI and High-Performance Computing (HPC), addressing two critical requirements: 1.A unified high-performance storage solution that seamlessly integrates both file and object storage access.2.A sustainable approach to building infrastructure that reduces energy usage and carbon emissions. We will explore how sustainable, high-performance storage solutions such as global data fabrics and data lakehouse technologies enable this vision. Key topics include: 1.The critical role of efficient storage in accelerating AI workloads.2.The advantages of distributed file and object storage for enterprise-scale workloads.3.Essential sustainability practices that align with environmental goals.4.A global data fabric use case, leveraging features from reference architectures for research data, that incorporates these innovations as well as embedded sustainability practices. This paper demonstrates how researchers, architects, CIOs, and administrators can leverage next-generation storage solutions to improve operational efficiency and support sustainability in generative AI use cases.",exclude,EC2,include,IC1,,exclude,high performance storage não computing
445,A deep dive into sustainable generative AI and HPC systems,"The lecture covers the foundations of sustainable computing, ranging from sand to large-scale systems targeting generative AI and High-Performance Computing (HPC). It provides a deep dive into their building blocks and their associated environmental cost with specific emphasis on RISC-V based systems and practical considerations. Lab activities include pen-and-paper calculations and hands-on experience on the RISC-V Monte Cimone computing cluster.",exclude,EC1,include,IC1,,exclude,é uma aula com exercícios práticos e focados em RISC-V
474,Sustainability of data center digital twins with reinforcement learning,"The rapid growth of machine learning (ML) has led to an increased demand for computational power, resulting in larger data centers (DCs) and higher energy consumption. To address this issue and reduce carbon emissions, intelligent design and control of DC components such as IT servers, cabinets, HVAC cooling, flexible load shifting, and battery energy storage are essential. However, the complexity of designing and controlling them in tandem presents a significant challenge. While some individual components like CFD-based design and Reinforcement Learning (RL) based HVAC control have been researched, there's a gap in the holistic design and optimization covering all elements simultaneously. To tackle this, we've developed DCRL-Green, a multi-agent RL environment that empowers the ML community to design data centers and research, develop, and refine RL controllers for carbon footprint reduction in DCs. It is a flexible, modular, scalable, and configurable platform that can handle large High Performance Computing (HPC) clusters. Furthermore, in its default setup, DCRL-Green provides a benchmark for evaluating single as well as multi-agent RL algorithms. It easily allows users to subclass the default implementations and design their own control approaches, encouraging community development for sustainable data centers. Open Source Link: https://github.com/HewlettPackard/dc-rl",exclude,EC1,include,IC2,,exclude,não é específico de HPC e parece usar emissões de carbono como motivação
492,SolarCore: Solar energy driven multi-core architecture power management,"The global energy crisis and environmental concerns (e.g. global warming) have driven the IT community into the green computing era. Of clean, renewable energy sources, solar power is the most promising. While efforts have been made to improve the performance-per-watt, conventional architecture power management schemes incur significant solar energy loss since they are largely workload-driven and unaware of the supply-side attributes. Existing solar power harvesting techniques improve the energy utilization but increase the environmental burden and capital investment due to the inclusion of large-scale batteries. Moreover, solar power harvesting itself cannot guarantee high performance without appropriate load adaptation. To this end, we propose SolarCore, a solar energy driven, multi-core architecture power management scheme that combines maximal power provisioning control and workload run-time optimization. Using real-world meteorological data across different geographic sites and seasons, we show that SolarCore is capable of achieving the optimal operation condition (e.g. maximal power point) of solar panels autonomously under various environmental conditions with a high green energy utilization of 82\% on average. We propose efficient heuristics for allocating the time varying solar power across multiple cores and our algorithm can further improve the workload performance by 10.8\% compared with that of round-robin adaptation, and at least 43\% compared with that of conventional fixed-power budget control. This paper makes the first step on maximally reducing the carbon footprint of computing systems through the usage of renewable energy sources. We expect that the novel joint optimization techniques proposed in this paper will contribute to building a truly sustainable, high-performance computing environment.",exclude,EC1,include,IC1,,exclude,"não trata de HPC, mas de tecnologias de energia solar"
548,Eliminating the Capacity Variation Penalty for Cloud Resource Management,"Increasing power grid challenges due to rapid decarbonization and pressure for reduced carbon emissions compel data centers to operate with capacity varying in hours or days, perhaps on a dynamic basis in concert with renewable generation. With data centers exceeding 10\% of load in many grids, the implied capacity variation may approach 50\%. For today's computing, variable resource capacity is problematic, causing severe loss in resource efficiency.Our approach is to create intelligent resource management for variable capacity resources. Traditional resource managers were built with the assumption of constant capacity, scheduling jobs that fail when capacity decreases, causing abrupt job failures and wasted resources. To understand scheduling performance under variable capacity, we define three key dimensions of variation that lead to performance loss. We use cloud and HPC workloads and explore the multi-dimensional capacity change space, characterizing performance in goodput, job failures, and waiting time. To improve performance, we consider intelligent termination policies to cope with capacity loss. Then, we take a broader view to prepare for capacity variation altogether. We consider two dimensions of uncertainty in capacity and workload, exploring the information space. We propose new scheduling techniques that exploit the information to prevent job failures and increase resource efficiency.We evaluate traditional schedulers under varying resource capacities and using a diverse set of HPC and cloud workloads. Results show that capacity variation decreases goodput by 60\%, incurring 40\% job failures. Amongst variability dimensions, dynamic range, structures, and change frequency are all important; each in some cases produces 10 - 40\% goodput losses. Drill down with Google cloud workloads shows that variable capacity can cause serious problems, including up to 70\% goodput loss and 20\% job failures. Careful study of performance versus variability shows that avoiding major harm, such as goodput loss, requires a variation limit of \&lt;10\% range. This prevents the cloud from significant temporal load shifting to reduce carbon emissions.We designed and compared the performance of intelligent termination policies to cope with capacity loss. Results demonstrate that these techniques achieve significant improvements under variations, with 10 - 66\% goodput increase and 1.6 - 3x job failure reduction. Using job progress to minimize wasted computation produces 44\% average goodput increase. Realistic examples show that with scheduling techniques, a typical data center can achieve 15\% carbon emission reduction by exploiting variations. Then, we take a broader view and design new scheduling schemes that prepare for variation using Google cloud workloads. These new schedulers exploit a variety of information about workload and capacity to reduce uncertainty, increasing goodput by up to 180\% and decreasing job failure rate by 5 - 15X. Within the information space, runtime classification is critical. Exploiting this information, LongShort algorithm can drastically increase variation range from \&lt;10 to 50\% while maintaining performance. These results demonstrate great scheduling improvements for capacity variations but require validation with complex workload constraints.While capacity variation poses serious challenges to conventional resource managers, our intelligent resource management shows significant improvement, eliminating the variation penalty and demonstrating promising benefits of future variable capacity data centers.",exclude,EC1,include,IC2,,exclude,foco em data centers
553,CO2 Emission Aware Scheduling for Deep Neural Network Training Workloads,"Machine Learning (ML) training is a growing workload in high-performance computing clusters and data centers; furthermore, it is computationally intensive and requires substantial amounts of energy with associated emissions. To the best of our knowledge, previous works in the area of load management have never focused on decreasing the carbon emission of ML training workloads. In this paper, we explore the potential emission reduction achievable by leveraging the iterative nature of the training process as well as the variability of CO2 signal intensity as coming from the power grid. To this end, we introduce two emission-aware mechanisms to shift the training jobs in time and migrate them between geographical locations. We present experimental results on power and carbon emission of the training process together with delay overheads associated with emission reduction mechanisms, for various, representative, deep neural network models. The results show that following emission signals, one can effectively reduce emissions by an amount that varies from 13\% to 57\% of the baseline cases. Moreover, the experimental results show that the total delay overhead for applying emission-aware mechanisms multiple times is negligible compared to the jobs' completion time.",exclude,EC2,include,IC2,,exclude,foco em ML
599,Data Center Energy Reduction by Lowering Chip-to-Supply Thermal Resistance,"Data centers are estimated to consume up to 2\% of current US electricity production. With increased processor power, rising ambient temperatures, and reduced water availability cooling of data centers is becoming a greater challenge. All electrical power entering a data center must be rejected to the environment as heat. This is typically done via primary and secondary cooling loops. The secondary loop transfers heat from the servers to the facility cooling system. The primary cooling loop rejects heat from the facility cooling system to the environment. The energy cost of rejecting heat to the environment is often high because primary facility coolants are typically kept at 20-30\textdegreeC, which is relatively close to typical ambient climate conditions. Evaporative cooling or chillers are therefore often used to facilitate heat rejection and maintaining the compute room at acceptable temperatures. As chipsets and electronics can often operate at higher temperatures (typically at 70-90\textdegreeC), it is here explored how reducing compute room thermal resistance (thermal resistance of the secondary loop) can impact the energy of the cooling plant of the data center as a whole. This paper explores the benefits of lowering the chip-to-coolant thermal resistance and raising the primary loop water supply temperature in data centers and its effect on cooling plant energy and water usage. A simplified Python model of a data center primary and secondary loop was constructed. Hourly data from U.S. Climate Reference Network weather stations in each US ASHRAE climate zone was then used to drive a dispatching algorithm that decided whether dry coolers, evaporative towers or chillers could be used to reject heat to the environment each hour of the year. This dispatching algorithm was optimized to produce results comparable to those published by cooling system manufacturers for a set of six test cases. The optimized model was then used to predict data center energy and water usage in each US climate zone for a wide range of primary loop water supply temperatures. The model results show that lowering the chip-to-coolant thermal resistance allows the water supply temperature to be increased, leading to an increase in the number of hours that dry coolers can be used in every climate zone throughout the year. This in turn leads to an opportunity to reduce cooling energy consumption, operational CO2 footprint, and water consumption.",exclude,EC2,include,IC2,,exclude,foco em data centers
