paper_id,provider,decision,reason
1,anthropic,include,IC1|IC2
2,anthropic,include,IC1|IC2
3,anthropic,include,IC1|IC2
4,anthropic,include,IC1|IC2
5,anthropic,include,IC1
6,anthropic,include,IC1
7,anthropic,include,IC1
8,anthropic,include,IC1
9,anthropic,include,IC1
10,anthropic,include,IC1|IC2
11,anthropic,include,IC1
12,anthropic,include,IC1
13,anthropic,include,IC1|IC2
14,anthropic,include,IC1|IC2
15,anthropic,include,IC1|IC2
16,anthropic,include,IC1
17,anthropic,include,IC1|IC2
18,anthropic,include,doubt
19,anthropic,include,IC1|IC2
20,anthropic,include,IC1
21,anthropic,include,IC1
22,anthropic,include,IC1
23,anthropic,include,IC1
24,anthropic,include,IC1
25,anthropic,include,IC1
26,anthropic,include,IC1|IC2
27,anthropic,include,IC1
28,anthropic,include,IC1
29,anthropic,include,IC1
30,anthropic,include,IC1|IC2
31,anthropic,exclude,EC1
32,anthropic,exclude,EC1
33,anthropic,exclude,EC1
34,anthropic,exclude,EC1
35,anthropic,exclude,EC1
36,anthropic,include,IC1
37,anthropic,exclude,EC2
38,anthropic,exclude,EC2
39,anthropic,exclude,EC1
40,anthropic,exclude,EC1
41,anthropic,exclude,EC1
42,anthropic,exclude,EC1
43,anthropic,exclude,EC1
44,anthropic,exclude,EC2
45,anthropic,exclude,EC1
46,anthropic,exclude,EC1
47,anthropic,exclude,EC1
48,anthropic,exclude,EC1
49,anthropic,include,IC1
50,anthropic,exclude,EC1
51,anthropic,exclude,EC2
52,anthropic,include,IC1|IC2
53,anthropic,exclude,EC1
54,anthropic,exclude,EC1
55,anthropic,exclude,EC1
56,anthropic,exclude,EC1
57,anthropic,exclude,EC1
58,anthropic,include,IC1
59,anthropic,include,IC1
60,anthropic,include,IC1
61,anthropic,exclude,EC1
62,anthropic,exclude,EC1
63,anthropic,exclude,EC1
64,anthropic,include,IC1
65,anthropic,exclude,EC1
66,anthropic,exclude,EC1
67,anthropic,exclude,EC2
68,anthropic,exclude,EC1
69,anthropic,exclude,EC1
70,anthropic,exclude,EC1
71,anthropic,include,IC1
72,anthropic,include,IC1|IC2
73,anthropic,include,IC1
74,anthropic,exclude,EC2
75,anthropic,exclude,EC1
76,anthropic,include,doubt
77,anthropic,include,IC1|IC2
78,anthropic,exclude,EC1
79,anthropic,exclude,EC1
80,anthropic,exclude,EC1
81,anthropic,exclude,EC1
82,anthropic,exclude,EC1
83,anthropic,exclude,EC1
84,anthropic,include,IC2
85,anthropic,include,IC1
86,anthropic,include,IC1
87,anthropic,exclude,EC2
88,anthropic,include,IC1
89,anthropic,exclude,EC1
90,anthropic,exclude,EC1
91,anthropic,include,IC1|IC2
92,anthropic,exclude,EC1
93,anthropic,exclude,EC1
94,anthropic,exclude,EC1
95,anthropic,include,IC1
96,anthropic,exclude,EC1
97,anthropic,exclude,EC1
98,anthropic,include,IC1
99,anthropic,exclude,EC1
100,anthropic,include,doubt
101,anthropic,exclude,EC1
102,anthropic,exclude,EC1
103,anthropic,exclude,EC2
