id,title,abstract,final_decision
52,The Power of\&nbsp;Training: How Different Neural Network Setups Influence the\&nbsp;Energy Demand,"This work offers a heuristic evaluation of the effects of variations in machine learning training regimes and learning paradigms on the energy consumption of computing, especially HPC hardware with a life-cycle aware perspective. While increasing data availability and innovation in high-performance hardware fuels the training of sophisticated models, it also fosters the fading perception of energy consumption and carbon emission. Therefore, the goal of this work is to raise awareness about the energy impact of general training parameters and processes, from learning rate over batch size to knowledge transfer. Multiple setups with different hyperparameter configurations are evaluated on three different hardware systems. Among many results, we have found out that even with the same model and hardware to reach the same accuracy, improperly set training hyperparameters consume up to 5 times the energy of the optimal setup. We also extensively examined the energy-saving benefits of learning paradigms including recycling knowledge through pretraining and sharing knowledge through multitask training.",
60,The Energy Efficiency Research of\&nbsp;Code for\&nbsp;Numerical Simulation of\&nbsp;Plasma Physics Problems,"Last ten years the top performance of the fastest high-performance systems in the world increased more than thirty times. The energy efficiency of high-performance calculations became the most important because of the growth of carbon footprint from supercomputers. In this work, we will show the energy efficiency research of our plasma physics code. We propose the supercomputer's carbon footprint value for typical plasma physics problem calculations as well as the method for evaluation of the power rate of the HPC code. We also provide information about the difference in energy efficiency between the AVX2 and AVX512 autovectorized programs.",
71,What A Waste,"The immense demand for high performance computational resources has led to large increases in the energy consumption of data centers. Higher energy use tends to correlate with more waste heat being produced. This waste heat is often discarded, but it is a valuable resource that many data centers are starting to reuse for many different applications. In this paper we propose the Heat Reuse Factor (HRF) metric to quantify a data center's heat reuse approach. We then propose and define the Green Supercomputing Ratio (GSR) metric to determine the efficiency of a facility based on the HRF value and the amount of CO2 emissions that are offset in accordance with green energy practices. Several examples of how to use the proposed metrics for varying heat reuse opportunities are covered using values for a Theoretical and a Practical data center. The resulting HRF and GSR values are provided to illustrate how HRF and GSR can be used to design more efficient data centers in the future.",
77,Adaptive Carbon-Aware Scheduling Policies for\&nbsp;HPC Systems,"In response to growing energy costs and carbon emissions, High Performance Computing (HPC) operators are looking for new strategies to reduce their footprint while maintaining operational efficiency. A direction is to optimize job scheduling in terms of energy and resource usage through the integration of new techniques such as speed scaling or power capping. However, the carbon footprint of an HPC platform can highly vary depending on when the jobs are executed because of the fluctuations of CO2 rates, which depends on the available energy resources and current demands. In this work, we explore the potential impact of incorporating CO2 rates in scheduling decisions. We introduce several policies that adjust dynamically in response to CO2 rate variations and expected job energy requirements. We propose two prediction models to help anticipate future CO2 rates evolution and potential energy consumption of submitted jobs. We evaluate these policies within a simulated HPC environment with real life job traces. Then, we compare them to the mostly used baseline scheduling policy First Come First Served (FCFS) with backfilling. We also compare them to other efficient policies in the literature. The resulting outcomes indicate that the proposed carbon aware scheduling techniques can achieve measurable reductions in carbon emissions (up to 15\%) without compromising the workload throughput or resources usage. Furthermore, their transparency and simplicity makes them easy to implement in any HPC system with a high chance of acceptance by the users.",
107,RE-UPS: an adaptive distributed energy storage system for dynamically managing solar energy in green datacenters,"Datacenters, the essential infrastructures for supercomputing and cloud computing, are facing increasing pressure of capping tremendous power consumption and carbon emission. Many studies have proposed to leverage energy storage devices to shave peak power or smooth intermittent power for datacenters, respectively. However, a joint energy management of peak shaving and renewable energy harvesting in datacenters is still lacking. In this paper, we propose a new power management scheme named RE-UPS, which explores the opportunity to shave datacenter peak power demand with renewable energy. RE-UPS is based on the emerging distributed energy storage architecture and existing UPS infrastructure of datacenter. It further leverages a dynamic heuristic algorithm to determine the appropriate energy storage allocation and server power sources. The proposed energy management policies can greatly optimize the design among maximizing renewable energy harvest, shaving peak power, and maintaining UPS energy availability. Compared to the baseline power management schemes, RE-UPS can averagely improve backup energy capacity by 28 \%, extend battery lifetime by 42 \%, increase green energy utilization by 78 \%, and reduce workload performance degradation by 13 \%.",
113,Sustainable edge computing with mobile crowd computing: a proof-of-concept with a smart HVAC use case,"The widespread adoption of utility-based real-time applications has placed the necessity of widescale deployment of edge computing infrastructure. Crowdsourced edge computing is deemed a suitable way out. On the other hand, a collection of today's powerful smart mobile devices (SMDs) can cumulatively offer high-performance computing. The public-owned SMDs are utilized opportunistically to form a dynamic ad-hoc computing grid known as mobile crowd computing (MCC). This paper aspires to establish a proof-of-concept for the feasibility and use of MCC as a sustainable edge computing solution (MCC-edge). A typical smart HVAC system of an office building has been considered for the experiment case. We aim to process the HVAC data in real-time using the MCC-edge setup within the building for auto adjustment of the AC controller and error notifications. To maintain the ideal comfort level of the occupants, we present an extensive calculation using the dew point and heat index of the room. A high-level layered architecture of the MCC-edge for HVAC is presented along with a general framework of the MCC-edge. We report the module-wise design and implementation procedures with exhaustive details. The performance of MCC-edge is statistically compared with the commercial edge and cloud computing solutions in terms of cost, energy consumption, latency, and environmental impact, showing a significant advantage over the two. Every procedural detail of each module's design, development, and implementation is meticulously presented, which would aid interested readers and researchers in rebuilding such an application.",
122,Artificial intelligence-enabled predictive energy saving planning of liquid cooling system for data centers,,
143,SoC-based computing infrastructures for scientific applications and commercial services: Performance and economic evaluations,,
144,Optimizing the performance of optimization in the cloud environment–An intelligent auto-scaling approach,,
145,Comparing workflow application designs for high resolution satellite image analysis,,
149,Towards safe and sustainable reinforcement learning for real-time strategy games,,
166,A Hybrid Deep Learning Approach for Modelling and Optimising Data Centre Energy Efficiency,,
167,Towards a European HPC/AI ecosystem: a community-driven report,,
188,Enabling distributed generation powered sustainable high-performance data center,"The necessity for capping carbon emission has significantly restricted the potential of modern data centers. For this matter, both industry and academia are proactively seeking opportunities on cross-layer power management schemes that could open a door for sustainable high-performance computing platform. In this paper we investigate an emerging trend in the IT industry: using promising onsite distributed generation (DG) techniques to provide premium clean energy to the computing load. We develop data center power demand shaping (PDS), a novel technique that allows data centers to utilize onsite green energy efficiently. In contrast to prior design, PDS takes advantage of a so-far unexplored power supply feature, i.e., the load following capabilities of DG systems to avoid the high performance penalty issue incurred during supply tracking. In addition, PDS features two adaptive power management schemes: DGR Boost and UPS Boost. These two workload-aware optimization methods leverage mature computer tuning knobs to achieve attractive data center performance improvement. Using real-world data center traces and industry data of distributed generation systems, we show that our technique can come within 1.2\% performance of an ideal oracle, which is roughly a 37\% improvement over existing supply tracking based design. Our design could save over 100 metric tons of carbon emissions annually for a 10MW data center.",
223,Data Center Operators Face Energy Irony,"High-performance computational technology is envisioned as a great resource for reducing energy consumption. However, the renewable energy infrastructure that will let these data centers operate without adding to greenhouse gas emission levels is still in its infancy.",
230,HPC 2012: Sustainable HPC Cloud Workshop,,
231,Accurate and Convenient Energy Measurements for GPUs: A Detailed Study of NVIDIA GPU's Built-In Power Sensor,"GPU has emerged as the go-to accelerator for HPC workloads, however its power consumption has become a major limiting factor for further scaling HPC systems. An accurate understanding of GPU power consumption is essential for further improving its energy efficiency, and consequently reducing the associated carbon footprint. Despite the limited documentation and lack of understanding, NVIDIA GPUs' built-in power sensor is widely used in energy-efficient computing research. Our study seeks to elucidate the internal mechanisms of the power readings provided by nvidia-smi and assess the accuracy of the measurements. We evaluated over 70 different GPUs across 12 architectural generations, and identified several unforeseen problems that can lead to drastic under/overestimation of energy consumed, for example on the A100 and H100 GPUs only 25\% of the runtime is sampled. We proposed several mitigations that could reduce the energy measurement error by an average of 35\% in the test cases we present.",
237,"Sustainable AI: Experiences, Challenges \&amp; Recommendations","The use of Artificial Intelligence (AI) and Machine Learning (ML) as part of scientific workloads is becoming increasingly widespread. It is imperative to understand how to configure AI and ML applications on HPC systems to optimise their performance and energy efficiency, thereby minimising their environmental impact. In this study, we use MLPerf HPC's DeepCAM benchmark to assess and explore the energy efficiency of ML applications on different hardware platforms. We highlight the challenges that, despite growing popularity, ML frameworks still present in a traditional HPC environment, as well as the challenges of measuring power and energy on a variety of HPC and cloud-like virtualised systems. We conclude our study by proposing recommendations that will improve and encourage best practices around sustainable AI and ML workloads on HPC systems.",
239,CEEMS: A Resource Manager Agnostic Energy and Emissions Monitoring Stack,"With the rapid acceleration of ML/AI research in the last couple of years, the energy consumption of the Information and Communication Technology (ICT) domain has rapidly increased. As a major part of this energy consumption is due to users' workloads, it is evident that users need to be aware of the energy footprint of their applications. Compute Energy \&amp; Emissions Monitoring Stack (CEEMS) has been designed to address this issue. CEEMS can report energy consumption and equivalent emissions of user workloads in real time for HPC and cloud platforms alike. Besides CPU energy usage, it supports reporting energy usage of workloads on NVIDIA and AMD GPU accelerators. CEEMS has been built around the prominent open-source tools in the observability eco-system like Prometheus and Grafana. CEEMS has been designed to be extensible and it allows the Data Center (DC) operators to easily define the energy estimation rules of user workloads based on the underlying hardware. This paper explains the architectural overview of CEEMS, data sources that are used to measure energy usage and estimate equivalent emissions and potential use cases of CEEMS from operator and user perspectives. Finally, the paper will conclude by describing how CEEMS deployment on the Jean-Zay supercomputing platform is capable of monitoring more than 1400 nodes that have a daily job churn rate of around 20k jobs.",
240,AIOps and Sustainability: Transforming Data Centers for a Greener Future,"Enterprise and high-performance computing (HPC) data centers are dealing with thousands of sensor metrics and associated data. A top-end target for exascale machines is 10 million data points per second. The escalating volume and speed of data generation are making management of such systems more difficult, and outages are increasing. The latest Uptime Institute's Outage Analysis report [1], published in June 2022, states that 30\% of all outages in 2021 lasted more than 24 hours, a disturbing increase from 8\% in 2017. While equipment is idle during downtime, it often continues to consume power, especially for cooling systems. This leads to wasted energy and higher operational costs. We propose an AIOps solution that uses advanced data analytics, machine learning, and deep learning methods to develop automated and advanced anomaly detection and predictive tools for data centers. They perform at scale and speed, and improve data center resiliency and energy efficiency, thereby promoting the sustainability of data centers.",
263,Mitigating Uncertainty in Developing and Applying Scientific Applications in an Integrated Computing Environment,,
271,"Sustainable HPC infrastructures - supercomputers, grids, and clouds: the DEISA experience",,
394,The World is Not Enough: Growing Waste in HPC-enabled Academic Practice,"Most research depends to some extent on technologies and computational infrastructures including, and perhaps especially, HCI. Despite the noted environmental impacts associated with information communication technology (ICT) globally, to date little consideration has been given as to how to limit the impact of research and innovation processes themselves. Working to understand the technical and cultural drivers of this impact within the specific but resource-intensive domain of High Performance Computing (HPC), we conducted 25 interviews with academic researchers, providers, funders, and commissioners of HPC. We find intersecting socio-cultural and technical dimensions that link to research institutions like conferences, funders, and universities that reinforce and embed, rather than challenge, expectations of growth and waste. At a time when large scale cloud systems, generative AI and ever larger models are multiplying, we argue to de-escalate demand for computing, aiming for more moderate, responsible and meaningful use of computational infrastructures--including within HCI itself.",
404,ThirstyFLOPS: Water Footprint Modeling and Analysis Toward Sustainable HPC Systems,"High-performance computing (HPC) systems are becoming increasingly water-intensive due to their reliance on water-based cooling and the energy used in power generation. However, the water footprint of HPC remains relatively underexplored--especially in contrast to the growing focus on carbon emissions. In this paper, we present ThirstyFLOPS - a comprehensive water footprint analysis framework for HPC systems. Our approach incorporates region-specific metrics, including Water Usage Effectiveness, Power Usage Effectiveness, and Energy Water Factor, to quantify water consumption using real-world data. Using four representative HPC systems – Marconi, Fugaku, Polaris, and Frontier – as examples, we provide implications for HPC system planning and management. We explore the impact of regional water scarcity and nuclear-based energy strategies on HPC sustainability. Our findings aim to advance the development of water-aware, environmentally responsible computing infrastructures.",
406,Core Hours and Carbon Credits: Incentivizing Sustainability in HPC,"Efforts to reduce the environmental impact of HPC often focus on resource providers, but choices made by users, e.g., concerning where to run, can be equally consequential. Here we present evidence that new accounting methods that charge users for energy used can incentivize significantly more efficient behavior. We first survey 300 HPC users and find that fewer than 30\% are aware of their energy consumption, and that energy efficiency is a low priority concern. We then propose two new multi-resource accounting methods that charge for computations based on their energy consumption or carbon footprint, respectively. Finally, we conduct both simulation studies and a user study to evaluate the impact of these two methods on user behavior. We find that while only providing users feedback on their energy use had no impact on their behavior, associating energy with cost incentivized users to select more efficient resources, and use 40\% less energy.",
407,Reproducibility Report for SC25 Paper ThirstyFLOPS: Water Footprint Modeling and Analysis Toward Sustainable HPC Systems,This reproducibility report provides details about the artifact evaluation done with regards to the Artifact Description and Evaluation appendix of SC25 paper ThirstyFLOPS: Water Footprint Modeling and Analysis Toward Sustainable HPC Systems by Jiang et al. The work was done as part of the Reproducibility Initiative of SC25. The author is a member of the SC25 Reproducibility Committee.,
408,"Empowering Generative AI in Enterprises: Sustainable, High-Performance Storage Solutions with Global Data Fabric and Data Lakehouse","Rapid growth in unstructured data has triggered enterprises to shift from traditional file storage to scalable object storage solutions in their infrastructure. There has been a growing need to integrate both file and object storage into a unified platform capable of managing the complexities of traditional and modern data workloads. Gartner predicts that by 2029, over 80\% of unstructured data will reside on consolidated storage systems--up from 40\% in early 2024--highlighting the urgency of this transition. As sustainability takes center stage, businesses must adopt storage solutions that deliver both high performance and minimal environmental impact. This paper presents a storage solution designed for Generative AI and High-Performance Computing (HPC), addressing two critical requirements: 1.A unified high-performance storage solution that seamlessly integrates both file and object storage access.2.A sustainable approach to building infrastructure that reduces energy usage and carbon emissions. We will explore how sustainable, high-performance storage solutions such as global data fabrics and data lakehouse technologies enable this vision. Key topics include: 1.The critical role of efficient storage in accelerating AI workloads.2.The advantages of distributed file and object storage for enterprise-scale workloads.3.Essential sustainability practices that align with environmental goals.4.A global data fabric use case, leveraging features from reference architectures for research data, that incorporates these innovations as well as embedded sustainability practices. This paper demonstrates how researchers, architects, CIOs, and administrators can leverage next-generation storage solutions to improve operational efficiency and support sustainability in generative AI use cases.",
412,Energy-Optimized Supercomputer Networks Using Wind Energy,Deploying and operating high-performance compute nodes among several wind turbines or wind farms aims to increase computing sustainability by maximizing renewable electric energy usage and minimizing energy waste by infrastructure.,
